N,Query,MAP,p@1,p@5,p@10
50000,algorithm,0.34223282688393813,0.0,0.6,0.4
50000,android,0.3588346192531654,1.0,0.8,0.8
50000,annotations,0.8170566567934989,1.0,1.0,0.9
50000,ant,0.4072430718850156,0.0,0.4,0.3
50000,apache,0.4738562091503267,1.0,0.2,0.2
50000,applet,0.5640585604871319,1.0,0.4,0.4
50000,arraylist,0.3666165798001081,0.0,0.4,0.5
50000,arrays,0.2956064980605478,1.0,0.4,0.4
50000,awt,0.6961730469965763,1.0,0.6,0.8
50000,c#,0.0,0.0,0.0,0.0
50000,c++,0.0,0.0,0.0,0.0
50000,class,0.42575757391095564,1.0,0.6,0.6
50000,collections,0.35924287614323713,0.0,0.4,0.4
50000,concurrency,0.37622095877533623,1.0,0.4,0.5
50000,database,0.5722493465862166,1.0,0.6,0.6
50000,date,0.5544324139912375,0.0,0.6,0.6
50000,design-patterns,0.25847123719464143,0.0,0.4,0.3
50000,eclipse,0.3886049493401468,1.0,0.6,0.6
50000,encryption,0.6811742955501722,1.0,0.8,0.6
50000,exception,0.44921618085609694,0.0,0.4,0.4
50000,file-io,0.6727454368243841,1.0,0.8,0.5
50000,file,0.4312369192803976,0.0,0.6,0.4
50000,generics,0.49340915396768914,1.0,0.8,0.7
50000,google-app-engine,0.21987211477609245,0.0,0.2,0.4
50000,gwt,0.6561382082549218,1.0,0.8,0.8
50000,hadoop,0.6085432448794984,1.0,0.8,0.6
50000,hashmap,0.3530369908158327,0.0,0.2,0.2
50000,hibernate,0.6496980955684237,1.0,1.0,0.9
50000,html,0.5607810714065499,1.0,0.8,0.5
50000,http,0.09400980756802503,0.0,0.2,0.1
50000,image,0.6540249124878312,1.0,0.6,0.6
50000,inheritance,0.4642781011093402,1.0,0.6,0.6
50000,intellij-idea,0.2091367252857936,0.0,0.4,0.2
50000,io,0.0,0.0,0.0,0.0
50000,jar,0.5436921729596521,1.0,0.8,0.5
50000,java-ee,0.13673180026236204,0.0,0.2,0.3
50000,java,0.07637814692275262,0.0,0.0,0.2
50000,javafx,0.8684367484367483,1.0,1.0,0.9
50000,javascript,0.482457278009471,1.0,0.6,0.5
50000,jaxb,0.5403072155347179,1.0,0.6,0.6
50000,jboss,0.8104978354978356,1.0,0.8,0.6
50000,jdbc,0.5320916485564385,1.0,0.8,0.8
50000,jersey,0.678463565420087,1.0,0.8,0.7
50000,jframe,0.6276670834466165,1.0,0.6,0.8
50000,jni,0.33083030440194966,1.0,0.2,0.3
50000,jpa,0.649288044699025,1.0,0.6,0.7
50000,jpanel,0.6890529011874633,1.0,0.6,0.7
50000,jquery,0.7142857142857143,1.0,0.4,0.2
50000,jsf,0.841343391590129,1.0,1.0,1.0
50000,json,0.7425179224283104,1.0,0.8,0.9
50000,jsp,0.5602694897376582,1.0,0.8,0.9
50000,jtable,0.6254645050550393,0.0,0.6,0.7
50000,junit,0.4679793816044544,1.0,0.2,0.4
50000,jvm,0.4700487012987013,1.0,0.4,0.3
50000,libgdx,0.7854352880235232,1.0,1.0,0.9
50000,linux,0.015249243510113074,0.0,0.0,0.0
50000,list,0.5187781244650362,1.0,0.6,0.6
50000,log4j,0.0,0.0,0.0,0.0
50000,logging,0.43927894569198916,0.0,0.4,0.6
50000,loops,0.3246753246753246,0.0,0.4,0.3
50000,maven,0.43946939819724545,1.0,0.6,0.5
50000,methods,0.36872604559494526,0.0,0.4,0.4
50000,multithreading,0.08388209827974803,0.0,0.4,0.4
50000,mysql,0.32254543795012003,1.0,0.6,0.5
50000,netbeans,0.5234633373236919,1.0,0.8,0.8
50000,nullpointerexception,0.41811499660698465,1.0,0.8,0.6
50000,object,0.3850895911817541,0.0,0.6,0.4
50000,oop,0.24634207962413057,1.0,0.4,0.2
50000,oracle,0.17898776061877378,0.0,0.0,0.3
50000,osx,0.15,0.0,0.2,0.2
50000,parsing,0.36696377696377697,1.0,0.4,0.4
50000,performance,0.31673141673141675,0.0,0.4,0.4
50000,php,0.5751633986928104,1.0,0.4,0.2
50000,python,0.3752962723550959,1.0,0.2,0.1
50000,reflection,0.4105541213803711,0.0,0.6,0.6
50000,regex,0.6556640717729345,1.0,0.8,0.9
50000,rest,0.12530661028756399,0.0,0.2,0.2
50000,scala,0.33610188139895847,0.0,0.4,0.5
50000,security,0.5099802158625688,1.0,0.4,0.4
50000,selenium,0.5037748193662172,1.0,0.6,0.5
50000,serialization,0.34003154164542865,0.0,0.6,0.5
50000,servlets,0.4565726722681512,1.0,0.6,0.8
50000,soap,0.25,0.0,0.2,0.1
50000,sockets,0.3690428797069879,0.0,0.8,0.5
50000,sorting,0.36456427170469213,0.0,0.4,0.4
50000,spring-mvc,0.5626823787418143,1.0,0.8,0.9
50000,spring-security,0.3171727623371367,0.0,0.4,0.4
50000,spring,0.6077057943829027,1.0,1.0,0.9
50000,sql,0.7419839028835167,1.0,1.0,0.8
50000,sqlite,0.7425839188134269,1.0,0.8,0.4
50000,string,0.250039623173396,0.0,0.4,0.3
50000,struts2,0.0,0.0,0.0,0.0
50000,swing,0.3944526323799102,1.0,0.8,0.8
50000,swt,0.4454134543769789,1.0,0.8,0.6
50000,tomcat,0.5700396507270085,1.0,0.6,0.6
50000,unit-testing,0.6642183063463598,1.0,0.8,0.6
50000,user-interface,0.10206247741556371,1.0,0.2,0.2
50000,web-services,0.33207077096738136,0.0,0.4,0.3
50000,windows,0.14285714285714285,0.0,0.0,0.1
50000,xml,0.5182259277377038,1.0,0.8,0.8
50000,,0.4338905690023885,0.6,0.5219999999999999,0.4869999999999998
